Ensembl_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000045216,4743.723276,1.509724715,0.03817871,39.54362839,0,0
ENSMUSG00000027230,2372.389669,-1.75811037,0.039955612,-44.00158823,0,0
ENSMUSG00000072941,936.6456287,3.002134303,0.065548099,45.8004788,0,0
ENSMUSG00000029675,2166.466684,1.606199008,0.036731554,43.72804428,0,0
ENSMUSG00000060962,835.7871088,-3.269656081,0.072812407,-44.90520531,0,0
ENSMUSG00000063903,9239.307477,-1.361570655,0.029828359,-45.64685046,0,0
ENSMUSG00000019970,3176.900025,1.361084903,0.027661457,49.20510451,0,0
ENSMUSG00000032231,4419.082845,-1.120426249,0.028401337,-39.44977146,0,0
ENSMUSG00000038145,3857.624957,1.330994178,0.02820051,47.19752173,0,0
ENSMUSG00000021294,2418.45231,3.708738555,0.045406451,81.67867007,0,0
ENSMUSG00000022868,15874.93203,-0.938377794,0.018533667,-50.6309831,0,0
ENSMUSG00000006362,862.5715895,2.356164919,0.063253234,37.24971487,1.07E-303,1.73E-300
ENSMUSG00000026074,6260.078139,0.869468037,0.023474967,37.03809368,2.79E-300,4.16E-297
ENSMUSG00000028399,428.9219168,4.822719163,0.133294864,36.18083252,1.22E-286,1.69E-283
ENSMUSG00000006345,888.7311623,-1.855607659,0.051324316,-36.1545519,3.16E-286,4.07E-283
ENSMUSG00000037411,973.7116263,-1.984042229,0.055289036,-35.88491264,5.25E-282,6.36E-279
ENSMUSG00000066235,2169.008377,1.136409291,0.032572689,34.88840884,1.11E-266,1.27E-263
ENSMUSG00000032531,1013.451226,1.72069686,0.049562362,34.71781383,4.24E-264,4.57E-261
ENSMUSG00000031400,2140.133956,-1.095307045,0.03186676,-34.37145922,6.73E-259,6.86E-256
ENSMUSG00000087196,781.1627349,1.758681066,0.052987298,33.19061593,1.47E-241,1.42E-238
ENSMUSG00000036390,1119.688298,1.514362064,0.046034447,32.89628022,2.48E-237,2.29E-234
ENSMUSG00000006777,4000.262293,1.046051727,0.031847959,32.84517265,1.33E-236,1.18E-233
ENSMUSG00000007682,632.3199673,1.969222788,0.060169652,32.72784081,6.28E-235,5.29E-232
ENSMUSG00000050711,5687.675447,0.906390552,0.028230631,32.10663398,3.56E-226,2.88E-223
ENSMUSG00000001435,3203.05496,-1.037079376,0.032397755,-32.01084064,7.70E-225,5.97E-222
ENSMUSG00000070570,1979.630598,1.015749815,0.032177737,31.56685031,1.05E-218,7.84E-216
ENSMUSG00000017466,1377.166741,1.278694146,0.040734139,31.39121564,2.67E-216,1.91E-213
ENSMUSG00000030894,1907.185362,-1.041121619,0.033396228,-31.17482681,2.34E-213,1.62E-210
ENSMUSG00000059146,1042.356818,1.845602681,0.060152615,30.68200225,9.89E-207,6.61E-204
ENSMUSG00000033880,1721.549146,1.034692692,0.033763104,30.64566288,3.02E-206,1.95E-203
ENSMUSG00000020882,1289.778116,-1.311340356,0.043064845,-30.45036737,1.18E-203,7.40E-201
ENSMUSG00000025085,2050.847981,-1.020582736,0.033762702,-30.22811203,1.01E-200,6.13E-198
ENSMUSG00000024063,2653.609451,-0.887946508,0.029437266,-30.16402727,7.02E-200,4.12E-197
ENSMUSG00000042115,2020.995739,1.330750897,0.044204198,30.10462735,4.21E-199,2.40E-196
ENSMUSG00000028161,1916.577513,1.10381165,0.036740128,30.04376178,2.63E-198,1.46E-195
ENSMUSG00000048960,1166.072528,-1.950999365,0.06577673,-29.66093601,2.45E-193,1.32E-190
ENSMUSG00000036437,345.4396667,2.854869643,0.096293583,29.6475587,3.65E-193,1.91E-190
ENSMUSG00000031311,11013.25397,0.681862063,0.023360758,29.18835307,2.73E-187,1.39E-184
ENSMUSG00000020612,20479.80468,0.425324112,0.014752553,28.83054206,8.89E-183,4.41E-180
ENSMUSG00000040136,341.5154074,-2.56215992,0.088935734,-28.80911641,1.65E-182,7.99E-180
ENSMUSG00000076431,2351.848036,1.002908083,0.035370734,28.35417788,7.43E-177,3.51E-174
ENSMUSG00000022365,2015.379618,-0.963840018,0.034128137,-28.24179979,1.79E-175,8.28E-173
ENSMUSG00000036466,8807.643706,0.587963207,0.020842038,28.21044713,4.35E-175,1.96E-172
ENSMUSG00000019823,796.8234146,1.397981369,0.049822612,28.05917433,3.09E-173,1.36E-170
ENSMUSG00000037025,1233.151327,1.214125119,0.043608442,27.84151565,1.36E-170,5.87E-168
ENSMUSG00000050390,883.4474971,-1.713156922,0.061649733,-27.78855368,5.96E-170,2.51E-167
ENSMUSG00000037185,301.1043904,-2.585638,0.09357428,-27.63193057,4.60E-168,1.90E-165
ENSMUSG00000075254,477.0984615,2.223542541,0.080719082,27.54667786,4.85E-167,1.96E-164
ENSMUSG00000032285,832.5229456,1.471878938,0.053949235,27.28266585,6.81E-164,2.69E-161
ENSMUSG00000005089,2024.623975,0.97204226,0.035805767,27.14764529,2.70E-162,1.05E-159
ENSMUSG00000027947,560.4829651,1.657506048,0.061995896,26.7357381,1.81E-157,6.87E-155
ENSMUSG00000039883,234.4005262,3.268227093,0.12288479,26.59586337,7.58E-156,2.82E-153
ENSMUSG00000007891,7909.721193,-0.581972137,0.022207039,-26.20665227,2.23E-151,8.16E-149
ENSMUSG00000023011,2899.220991,-0.798511776,0.030884938,-25.85440727,2.17E-147,7.79E-145
ENSMUSG00000039683,1051.488692,1.154199188,0.044651347,25.849146,2.49E-147,8.76E-145
ENSMUSG00000022197,801.9249468,-1.280732328,0.049872137,-25.68031796,1.94E-145,6.71E-143
ENSMUSG00000042244,262.0116847,-2.417345445,0.094531635,-25.57181461,3.14E-144,1.07E-141
ENSMUSG00000031303,4337.052422,0.60009128,0.023637861,25.38686899,3.52E-142,1.18E-139
ENSMUSG00000028645,3931.774899,-0.688451207,0.027183294,-25.32626142,1.64E-141,5.39E-139
ENSMUSG00000022793,1561.739792,-1.062731622,0.041981842,-25.31407813,2.24E-141,7.22E-139
ENSMUSG00000036295,1181.537208,1.16692324,0.046345596,25.1787298,6.85E-140,2.18E-137
ENSMUSG00000028699,4230.349437,-0.690338642,0.027424824,-25.17203566,8.11E-140,2.53E-137
ENSMUSG00000022871,2225.004844,-0.765824562,0.030481322,-25.12438806,2.69E-139,8.28E-137
ENSMUSG00000026576,20872.39915,-0.442102567,0.01760541,-25.11174445,3.70E-139,1.12E-136
ENSMUSG00000017204,2461.419897,-0.906723649,0.036463188,-24.8668235,1.70E-136,5.07E-134
ENSMUSG00000021556,1836.863855,-0.797410168,0.032250643,-24.7254037,5.70E-135,1.67E-132
ENSMUSG00000001249,3828.980857,-0.631178647,0.025644714,-24.61242654,9.30E-134,2.69E-131
ENSMUSG00000008734,256.3746695,2.459956967,0.100303288,24.52518771,7.96E-133,2.27E-130
ENSMUSG00000038453,960.7832223,-1.154439613,0.047085409,-24.51799031,9.50E-133,2.67E-130
ENSMUSG00000032883,1987.097219,-0.802939376,0.032990052,-24.33883326,7.61E-131,2.11E-128
ENSMUSG00000025555,2885.19152,0.766038767,0.031643903,24.20810017,1.83E-129,4.99E-127
ENSMUSG00000010021,1118.961281,-1.214331639,0.050165334,-24.20658956,1.90E-129,5.10E-127
ENSMUSG00000037902,3063.286633,0.662235586,0.027373482,24.19259545,2.66E-129,7.06E-127
ENSMUSG00000074272,192.8584869,-3.481730145,0.145802353,-23.87979392,4.97E-126,1.30E-123
ENSMUSG00000005640,1132.371887,1.07461512,0.045320878,23.71125998,2.76E-124,7.13E-122
ENSMUSG00000031762,3965.002337,-0.829945565,0.035237424,-23.55295823,1.17E-122,2.98E-120
ENSMUSG00000026204,4508.942335,-0.593711587,0.025280052,-23.48537792,5.75E-122,1.45E-119
ENSMUSG00000054161,522.4668567,-1.411709109,0.060856153,-23.19747535,4.83E-119,1.20E-116
ENSMUSG00000005672,387.7822074,2.074287777,0.089506578,23.17469654,8.20E-119,2.01E-116
ENSMUSG00000021831,5779.658412,-0.763260952,0.033130021,-23.03834818,1.92E-117,4.66E-115
ENSMUSG00000030022,171.4188236,3.093341715,0.134407519,23.01464791,3.33E-117,7.95E-115
ENSMUSG00000005312,3608.204547,0.569931035,0.024798622,22.98236669,7.00E-117,1.65E-114
ENSMUSG00000022519,666.7730625,1.377433304,0.060094832,22.92099437,2.87E-116,6.70E-114
ENSMUSG00000052373,842.600971,-1.208045531,0.052857219,-22.85488264,1.31E-115,3.01E-113
ENSMUSG00000022744,1207.028688,-0.948626128,0.041516114,-22.84958888,1.48E-115,3.36E-113
ENSMUSG00000063229,28675.99115,-0.509054745,0.022288465,-22.83938131,1.86E-115,4.20E-113
ENSMUSG00000028766,493.0789214,1.442126406,0.063379718,22.7537524,1.32E-114,2.93E-112
ENSMUSG00000040990,361.5999801,1.783021841,0.078448431,22.72858522,2.34E-114,5.14E-112
ENSMUSG00000050071,5175.089945,0.661570869,0.029241041,22.62473713,2.47E-113,5.38E-111
ENSMUSG00000028132,707.2106607,1.309312087,0.057950937,22.59345863,5.03E-113,1.08E-110
ENSMUSG00000032470,3775.47855,0.611770697,0.027634443,22.13797852,1.36E-108,2.90E-106
ENSMUSG00000022265,1720.511694,0.750686528,0.033998257,22.08014729,4.90E-108,1.03E-105
ENSMUSG00000028385,976.4509617,1.012851291,0.046470288,21.79567492,2.55E-105,5.31E-103
ENSMUSG00000002266,3126.920613,0.96831703,0.044924862,21.55414599,4.84E-103,9.98E-101
ENSMUSG00000054200,1614.779839,-0.803299343,0.037309904,-21.5304586,8.07E-103,1.65E-100
ENSMUSG00000009394,1820.333881,-0.762716003,0.035657544,-21.39003219,1.65E-101,3.34E-99
ENSMUSG00000022353,3787.177268,0.674815644,0.03167435,21.30479817,1.02E-100,2.05E-98
ENSMUSG00000020660,110925.1232,-0.513426269,0.02413448,-21.27355853,2.00E-100,3.94E-98
ENSMUSG00000023192,563.3794027,1.444085079,0.067889658,21.27106125,2.10E-100,4.12E-98
ENSMUSG00000026797,6205.174443,0.559172628,0.02637864,21.19793274,9.98E-100,1.93E-97
ENSMUSG00000028749,157.2433021,-2.642847194,0.125447613,-21.06733741,1.59E-98,3.04E-96
ENSMUSG00000034917,1558.445395,-0.956003744,0.045490408,-21.01550181,4.73E-98,8.99E-96
ENSMUSG00000042364,1780.802013,0.712789916,0.034057374,20.9290918,2.91E-97,5.47E-95
ENSMUSG00000067071,2523.281505,0.802180943,0.03870097,20.72767034,1.95E-95,3.63E-93
ENSMUSG00000029810,2965.302731,-0.624775097,0.03039807,-20.5531171,7.22E-94,1.33E-91
ENSMUSG00000022415,754.170102,-0.998142556,0.048574194,-20.54882396,7.89E-94,1.44E-91
ENSMUSG00000038776,1941.421173,-0.758505786,0.036962038,-20.52121104,1.39E-93,2.52E-91
ENSMUSG00000023353,6497.726198,0.48108427,0.023455582,20.51043801,1.74E-93,3.12E-91
ENSMUSG00000037820,1225.17502,-0.821773487,0.040142769,-20.47127086,3.88E-93,6.90E-91
ENSMUSG00000005125,9268.216943,-0.705486415,0.034596962,-20.39157131,1.99E-92,3.50E-90
ENSMUSG00000058975,843.0592967,1.013925345,0.050155872,20.21548631,7.15E-91,1.25E-88
ENSMUSG00000029095,565.4432399,-1.343508924,0.066565913,-20.18313685,1.38E-90,2.38E-88
ENSMUSG00000041548,3394.13578,-0.508826253,0.025507707,-19.94794145,1.56E-88,2.68E-86
ENSMUSG00000031103,2125.228912,0.617368421,0.030978876,19.92869005,2.29E-88,3.90E-86
ENSMUSG00000031604,2270.637654,-0.66714628,0.033477962,-19.92792413,2.33E-88,3.92E-86
ENSMUSG00000089715,4133.589981,0.570762888,0.028674059,19.90520003,3.67E-88,6.13E-86
ENSMUSG00000042306,192.4801811,-2.189627268,0.110156805,-19.87736725,6.39E-88,1.06E-85
ENSMUSG00000021587,8563.011363,-0.45638398,0.023153334,-19.71137234,1.72E-86,2.83E-84
ENSMUSG00000022892,43367.07272,0.283989392,0.014448148,19.65576474,5.16E-86,8.40E-84
ENSMUSG00000035557,1212.69392,-0.803655545,0.041061384,-19.57205187,2.68E-85,4.32E-83
ENSMUSG00000038580,255.7783479,1.823033331,0.09318172,19.5642807,3.12E-85,4.99E-83
ENSMUSG00000044156,309.8610374,1.633996499,0.083874182,19.48151934,1.58E-84,2.50E-82
ENSMUSG00000025161,7557.426848,-0.504428011,0.025935455,-19.44936014,2.95E-84,4.65E-82
ENSMUSG00000023367,1298.318161,-0.848866786,0.043840406,-19.36265792,1.59E-83,2.49E-81
ENSMUSG00000032091,369.6352979,-1.436935849,0.074426097,-19.30688178,4.70E-83,7.28E-81
ENSMUSG00000039238,469.6391221,-1.242393705,0.064354749,-19.30539284,4.84E-83,7.44E-81
ENSMUSG00000072214,4567.765493,0.465563686,0.024129332,19.2945121,5.97E-83,9.11E-81
ENSMUSG00000021803,1618.252204,0.71432662,0.037042768,19.28383477,7.34E-83,1.11E-80
ENSMUSG00000042010,699.0702697,-1.106632983,0.057422113,-19.2718958,9.25E-83,1.39E-80
ENSMUSG00000031709,2515.972625,0.584247109,0.030317841,19.27073607,9.46E-83,1.41E-80
ENSMUSG00000024811,4278.533408,-0.457301495,0.023742256,-19.2610805,1.14E-82,1.69E-80
ENSMUSG00000074489,9916.145274,-0.396860124,0.020691398,-19.17995657,5.44E-82,7.99E-80
ENSMUSG00000030518,2182.329423,0.689463323,0.036091079,19.10342807,2.36E-81,3.44E-79
ENSMUSG00000115326,119.0903116,-4.39428035,0.230047631,-19.10161095,2.45E-81,3.54E-79
ENSMUSG00000034227,304.6642913,-1.614249461,0.084732091,-19.05121708,6.42E-81,9.21E-79
ENSMUSG00000040054,5526.000845,-0.514500988,0.027090555,-18.99189557,1.99E-80,2.83E-78
ENSMUSG00000035949,1319.946455,-0.730140816,0.038452284,-18.98823028,2.13E-80,3.02E-78
ENSMUSG00000034765,2186.733504,0.67071436,0.035586432,18.84747438,3.08E-79,4.33E-77
ENSMUSG00000032035,961.3750265,0.850435628,0.045132893,18.84292302,3.36E-79,4.68E-77
ENSMUSG00000037108,469.388797,1.323529853,0.070242704,18.84223939,3.40E-79,4.71E-77
ENSMUSG00000020849,20071.51397,0.388546241,0.020638921,18.82589907,4.63E-79,6.36E-77
ENSMUSG00000003955,4383.404916,-0.596222154,0.031682785,-18.81848915,5.33E-79,7.27E-77
ENSMUSG00000025813,293.2118683,-1.67796106,0.089266415,-18.79722695,7.96E-79,1.08E-76
ENSMUSG00000034591,1476.695506,-0.906438761,0.048255463,-18.78416891,1.02E-78,1.37E-76
ENSMUSG00000032420,492.2795489,1.166869215,0.062171989,18.76840736,1.37E-78,1.83E-76
ENSMUSG00000061232,7739.275226,-0.489617488,0.026122512,-18.74312452,2.20E-78,2.92E-76
ENSMUSG00000027533,1702.14993,-0.66630263,0.035650456,-18.68987684,5.99E-78,7.89E-76
ENSMUSG00000021823,1701.604821,-0.784726722,0.042004629,-18.68191035,6.95E-78,9.09E-76
ENSMUSG00000003363,20710.18603,-0.348332469,0.018653761,-18.67357832,8.12E-78,1.06E-75
ENSMUSG00000024308,846.9235575,-0.945148954,0.050648383,-18.66098986,1.03E-77,1.33E-75
ENSMUSG00000022781,3167.616271,0.60020887,0.032173059,18.65563596,1.14E-77,1.46E-75
ENSMUSG00000056073,275.3691135,1.508915447,0.081399329,18.53719766,1.03E-76,1.32E-74
ENSMUSG00000074758,132.9355175,-2.872681487,0.155305073,-18.49702293,2.18E-76,2.76E-74
ENSMUSG00000051146,791.9318559,-0.997797457,0.053953583,-18.49362723,2.32E-76,2.92E-74
ENSMUSG00000025592,277.2091156,-1.60365828,0.086761202,-18.4835876,2.80E-76,3.50E-74
ENSMUSG00000010175,3421.623418,0.764739417,0.041474291,18.4388788,6.41E-76,7.95E-74
ENSMUSG00000015944,1877.593223,0.690128471,0.037441162,18.43234673,7.23E-76,8.92E-74
ENSMUSG00000016024,136.4178257,-2.56291515,0.139733539,-18.34144589,3.86E-75,4.74E-73
ENSMUSG00000005034,3571.773319,0.498964125,0.027270646,18.29674728,8.78E-75,1.07E-72
ENSMUSG00000003051,3787.141681,-0.518371927,0.028483023,-18.19932956,5.22E-74,6.32E-72
ENSMUSG00000027523,77979.47824,0.308989649,0.016997186,18.1788703,7.59E-74,9.13E-72
ENSMUSG00000032198,3598.500477,-0.713615309,0.03930085,-18.15775761,1.11E-73,1.33E-71
ENSMUSG00000038803,1499.101321,-0.657218599,0.03635243,-18.07908314,4.66E-73,5.53E-71
ENSMUSG00000038608,896.8509466,1.068532442,0.059305018,18.01757224,1.42E-72,1.68E-70
ENSMUSG00000034656,2077.435946,0.75964194,0.042312584,17.9530975,4.54E-72,5.33E-70
ENSMUSG00000039156,1156.960706,-0.761315402,0.042542417,-17.89544302,1.28E-71,1.49E-69
ENSMUSG00000010066,2682.205928,0.634973451,0.035490982,17.89112082,1.38E-71,1.60E-69
ENSMUSG00000003665,377.0825694,-1.255176358,0.070533206,-17.79553819,7.65E-71,8.82E-69
ENSMUSG00000024247,2168.759547,0.603495889,0.033975294,17.76278617,1.37E-70,1.57E-68
ENSMUSG00000042650,6368.098196,-0.433102359,0.024432932,-17.72617225,2.63E-70,3.00E-68
ENSMUSG00000032737,15348.21727,0.468655832,0.026451662,17.71744389,3.08E-70,3.48E-68
ENSMUSG00000024590,2021.63645,-0.615078319,0.034734797,-17.70784258,3.65E-70,4.11E-68
ENSMUSG00000035372,656.9195175,-0.944815582,0.053523339,-17.65240373,9.75E-70,1.09E-67
ENSMUSG00000031557,2627.063045,-0.510141405,0.028916478,-17.64189255,1.17E-69,1.31E-67
ENSMUSG00000029784,247.2373191,1.597490337,0.090596925,17.63294206,1.38E-69,1.52E-67
ENSMUSG00000030413,1271.451232,-0.654671538,0.03714001,-17.62712334,1.53E-69,1.68E-67
ENSMUSG00000034245,1481.366504,0.630629104,0.035868847,17.58152692,3.41E-69,3.73E-67
ENSMUSG00000038128,786.5628488,-0.826152215,0.047046102,-17.56048169,4.95E-69,5.38E-67
ENSMUSG00000020604,539.5067015,1.002707478,0.057789727,17.35096417,1.94E-67,2.10E-65
ENSMUSG00000004151,2772.382274,0.528783006,0.030572564,17.29599801,5.04E-67,5.43E-65
ENSMUSG00000057329,4238.563604,0.462518689,0.026799459,17.25850819,9.66E-67,1.03E-64
ENSMUSG00000075027,181.919535,-1.959792751,0.114103697,-17.17554128,4.05E-66,4.31E-64
ENSMUSG00000067851,7484.801036,0.640215327,0.037392941,17.12128858,1.03E-65,1.09E-63
ENSMUSG00000030616,798.1599358,-0.99234735,0.058064936,-17.09030295,1.75E-65,1.84E-63
ENSMUSG00000042632,1842.898855,-0.636366566,0.037260675,-17.07877168,2.14E-65,2.24E-63
ENSMUSG00000032625,258.846164,1.549360762,0.090870899,17.0501314,3.49E-65,3.63E-63
ENSMUSG00000020811,2142.450666,0.564565792,0.033152224,17.02949967,4.96E-65,5.14E-63
ENSMUSG00000026058,215.7139651,1.82208112,0.107170297,17.00173614,7.97E-65,8.21E-63
ENSMUSG00000020458,2449.056457,0.474963231,0.02804841,16.9336952,2.54E-64,2.60E-62
ENSMUSG00000112907,2622.011733,0.498373544,0.029516194,16.8847496,5.83E-64,5.94E-62
ENSMUSG00000034701,1968.894747,0.617013929,0.036565092,16.87439842,6.94E-64,7.04E-62
ENSMUSG00000046798,1720.584935,0.620016539,0.036769107,16.86243119,8.50E-64,8.58E-62
ENSMUSG00000030340,1002.908867,-0.732757404,0.043527988,-16.83416656,1.37E-63,1.38E-61
ENSMUSG00000030747,936.5453202,-0.795250693,0.047255111,-16.82888214,1.50E-63,1.50E-61
ENSMUSG00000036427,26408.6666,-0.41323686,0.02463852,-16.77198388,3.91E-63,3.89E-61
ENSMUSG00000040703,347.0882863,-1.251888916,0.074741193,-16.74965131,5.70E-63,5.63E-61
ENSMUSG00000020358,11023.97541,0.298532694,0.017827215,16.74589612,6.07E-63,5.97E-61
ENSMUSG00000045382,299.6270335,1.59287178,0.095482418,16.68235697,1.76E-62,1.72E-60
ENSMUSG00000023067,5939.56279,0.38008679,0.022786427,16.68040349,1.82E-62,1.77E-60
ENSMUSG00000041439,2330.028502,0.531682111,0.032050427,16.5889246,8.38E-62,8.12E-60
ENSMUSG00000043131,1315.254143,-0.664690186,0.040088402,-16.58061067,9.62E-62,9.27E-60
