"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000055956",5477.23384889431,-5.39731062387229,0.17111134956488,-31.5426804685788,2.25933204073614e-218,1.2021905788757e-214
"ENSRNOG00000056747",993.546163820099,-5.530251926515,0.185602184576254,-29.7962652710207,4.36703141413986e-195,1.16184870773191e-191
"ENSRNOG00000060896",992.753831077189,-5.35215147019202,0.179787878104849,-29.7692565628409,9.77064214647129e-195,1.73298622871246e-191
"ENSRNOG00000000033",36165.5536153299,3.09138662131738,0.106078786126928,29.1423642199148,1.04390952631065e-186,1.38866064737475e-183
"ENSRNOG00000059586",991.710325319637,-5.44414121967689,0.188925763723449,-28.8162985946484,1.34047148805585e-182,1.42652975758904e-179
"ENSRNOG00000046600",5508.73158636006,-5.44719527598306,0.189741964173772,-28.7084372700724,2.99374315720843e-181,2.65495122325101e-178
"ENSRNOG00000054945",124462.143241844,-5.17131520682312,0.203544741654542,-25.4062824948822,2.14933175076075e-142,1.63379917797114e-139
"ENSRNOG00000060518",151093.833112647,-4.40615227787111,0.201671400778943,-21.8481760966237,8.0899909754451e-106,5.38085524754293e-103
"ENSRNOG00000038999",685.889387288671,3.19600773676005,0.170722075822594,18.7205299687265,3.3678367757806e-78,1.99113994265873e-75
"ENSRNOG00000013288",6371.0927518473,2.01609246741542,0.116580055036177,17.2936311171735,5.25361692456563e-67,2.79544956556137e-64
"ENSRNOG00000047746",318177.254280333,-6.33060048351398,0.368942258227612,-17.1587839081541,5.40332152738634e-66,2.61373398611116e-63
"ENSRNOG00000036603",5404.85834622437,-3.28077752576379,0.206512559475219,-15.8865762649049,7.84995673122311e-57,3.48080164723652e-54
"ENSRNOG00000043176",204.733112580468,-3.46699057715008,0.223350801338018,-15.5226243039225,2.43869835054558e-54,9.98177994096386e-52
"ENSRNOG00000019050",1310.35746437468,2.97474063265717,0.193381074631586,15.3827908874972,2.13541106359325e-53,8.11608733527122e-51
"ENSRNOG00000008656",1223.56467693955,-1.9525420005327,0.14979536847374,-13.0347287798487,7.76426168263729e-39,2.7542424275542e-36
"ENSRNOG00000021166",202.593836466739,3.59631670065622,0.283217955348711,12.698053328675,6.06188401874657e-37,2.0159553039844e-34
"ENSRNOG00000050545",27990.713812555,-6.23775536974661,0.503053921680777,-12.3997748569484,2.6205886384455e-35,8.2024424383344e-33
"ENSRNOG00000014289",813.284539218792,1.79636161180634,0.145413042877495,12.3535109111203,4.66310727741468e-35,1.37846632350686e-32
"ENSRNOG00000050156",27924.9178252436,-6.25375580313041,0.51172183579754,-12.2210063469026,2.40094025816202e-34,6.72389637562111e-32
"ENSRNOG00000054657",27876.174516015,-6.23275449590897,0.518752286125851,-12.0148954763293,2.96744619045048e-33,7.89489058969349e-31
"ENSRNOG00000055154",28073.5610866846,-6.29535609722705,0.528685194658776,-11.9075702532018,1.08080935042123e-32,2.7385650255197e-30
"ENSRNOG00000047351",28044.8741274946,-6.26384743709348,0.535182308847338,-11.7041376995147,1.2138694460276e-31,2.93590878286947e-29
"ENSRNOG00000046707",27994.0821097447,-6.24753082042578,0.537566613393973,-11.6218728335479,3.19064195452513e-31,7.38148080001226e-29
"ENSRNOG00000018783",3596.46127517263,-1.35980272112875,0.117167016315541,-11.6056784911779,3.85616842554723e-31,8.54944674680701e-29
"ENSRNOG00000005906",222.349966430859,-2.65113777525373,0.240483155121458,-11.0242140407495,2.92058540991505e-28,5.97709037159922e-26
"ENSRNOG00000007546",763.692071085158,-1.46741323827185,0.133075389569242,-11.026931749152,2.83368275795988e-28,5.97709037159922e-26
"ENSRNOG00000020551",391.064007008545,-1.75827558805304,0.161156449788073,-10.9103643717967,1.02843302857651e-27,2.02677486853912e-25
"ENSRNOG00000027089",1930.32912240575,-1.26652354546203,0.116207439412606,-10.8988163913078,1.16766287128497e-27,2.21897647789548e-25
"ENSRNOG00000023202",2448.70645853957,-1.17682234694709,0.108366326247574,-10.8596681985742,1.7939984989671e-27,3.29167793551859e-25
"ENSRNOG00000017932",806.833222524259,-1.36931440432377,0.127013422600497,-10.7808637566657,4.23886526808387e-27,7.51833403049142e-25
"ENSRNOG00000006420",10345.8747689667,-1.61469938654762,0.154591692839991,-10.4449298463851,1.54569628423233e-25,2.6531128801291e-23
"ENSRNOG00000061943",92.955148123512,-3.45463093032322,0.331879722294333,-10.4092859498641,2.24902199489573e-25,3.73970188588756e-23
"ENSRNOG00000012722",196.634219531183,-2.6168549357519,0.252588281241271,-10.3601597148218,3.76333111359653e-25,6.06808631983246e-23
"ENSRNOG00000017123",10542.7594318135,-1.10498558392293,0.10793112790495,-10.237876740212,1.34147986567294e-24,2.09941598977815e-22
"ENSRNOG00000011296",126.59951257858,-3.326198881443,0.32718347296854,-10.1661580007827,2.80765628739265e-24,4.26843974434751e-22
"ENSRNOG00000039776",168.809977957275,-2.37474049789923,0.234913357731789,-10.1090058089016,5.03930432047295e-24,7.44837174701016e-22
