ensembl_gene_id,WKY1,WKY2,WKY3,SHR1,SHR2,SHR3
ENSRNOG00000000001,0,0,0,0,0,0
ENSRNOG00000000007,0,0,0,0,0,0
ENSRNOG00000000008,0,0,0,0,0,0
ENSRNOG00000000009,0,0,0,0,0,0
ENSRNOG00000000010,0,0,0,0,0,0
ENSRNOG00000000012,0,0,2,0,1,0
ENSRNOG00000000017,0,0,0,0,0,0
ENSRNOG00000000021,34,30,30,6,6,3
ENSRNOG00000000024,30,27,64,14,10,12
ENSRNOG00000000033,139772,161191,138142,2739,4100,4011
ENSRNOG00000000034,25,20,13,3,8,19
ENSRNOG00000000035,0,0,0,0,0,0
ENSRNOG00000000036,0,0,0,0,0,0
ENSRNOG00000000040,4,10,22,2,0,4
ENSRNOG00000000041,12,3,5,1,0,0
ENSRNOG00000000042,25,9,15,1,5,6
ENSRNOG00000000043,7,33,3,2,4,6
ENSRNOG00000000044,7,5,4,0,1,0
ENSRNOG00000000047,1608,2001,1938,185,254,191
ENSRNOG00000000048,173,229,233,37,48,22
ENSRNOG00000000053,0,0,0,0,0,0
ENSRNOG00000000054,11,11,10,1,1,5
ENSRNOG00000000055,0,0,0,0,0,0
ENSRNOG00000000060,0,4,0,0,0,0
ENSRNOG00000000062,14,37,10,7,12,0
ENSRNOG00000000064,153,159,138,28,47,42
ENSRNOG00000000065,0,2,0,0,0,0
ENSRNOG00000000066,43,15,29,3,0,3
ENSRNOG00000000068,153,123,99,9,26,29
ENSRNOG00000000070,14,10,6,3,0,0
ENSRNOG00000000073,9,7,3,1,6,0
ENSRNOG00000000075,29,43,29,4,9,19
ENSRNOG00000000081,28,28,24,9,9,9
ENSRNOG00000000082,45,51,17,7,18,15
ENSRNOG00000000091,0,5,0,0,0,1
ENSRNOG00000000095,15,21,10,4,3,11
ENSRNOG00000000096,0,2,0,0,0,0
ENSRNOG00000000097,2,0,0,0,1,0
ENSRNOG00000000098,122,128,121,8,25,11
ENSRNOG00000000104,50,63,22,7,12,10
ENSRNOG00000000105,0,0,0,0,0,0
ENSRNOG00000000108,24,21,9,2,6,2
ENSRNOG00000000109,0,0,0,0,0,0
ENSRNOG00000000111,0,0,6,0,0,0
ENSRNOG00000000112,28,48,5,3,2,7
ENSRNOG00000000113,0,0,3,0,0,0
ENSRNOG00000000121,9,37,20,3,5,4
ENSRNOG00000000122,47,31,14,4,4,0
ENSRNOG00000000123,71,85,49,5,13,12
ENSRNOG00000000124,0,0,0,0,0,0
ENSRNOG00000000127,63,90,93,13,24,26
ENSRNOG00000000129,3,0,0,0,0,0
ENSRNOG00000000130,2,2,6,3,1,8
